title,authors,book_format,cur_price,old_price,isbn13,publisher,publication_date,pages,product_dimensions
Born a Crime: Stories from a South African Childhood,Trevor Noah,Paperback,$11.52,$18.00,9780399588198,Random House Publishing Group,02/12/2019,304,5.49(w) x 8.21(h) x 0.63(d)
Born into It: A Fan's Life,Jay Baruchel,Paperback,$17.35,$18.50,9781443452793,HarperCollins Publishers,10/30/2018,272,6.00(w) x 9.00(h) x 0.68(d)
Born on a Tuesday,Elnathan John,Paperback,$14.40,$16.00,9780802124821,"Grove/Atlantic, Inc.",05/03/2016,256,5.40(w) x 8.20(h) x 1.00(d)
Born Standing Up: A Comic's Life,Steve Martin,Paperback,$15.30,$17.00,9781416553656,Scribner,09/02/2008,224,7.74(w) x 11.02(h) x 0.66(d)
Born to Fish: How an Obsessed Angler Became the World's Greatest Striped Bass Fisherman,Tim Gallagher,Hardcover,$23.40,$26.00,9780544787247,Houghton Mifflin Harcourt,05/15/2018,224,6.00(w) x 9.10(h) x 1.00(d)
"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",Christopher McDougall,Paperback,$13.60,$16.00,9780307279187,Knopf Doubleday Publishing Group,03/29/2011,304,5.10(w) x 7.90(h) x 1.10(d)
Born Trump: Inside America's First Family,Emily Jane Fox,Hardcover,$25.19,$27.99,9780062690777,HarperCollins Publishers,06/19/2018,352,6.10(w) x 8.80(h) x 1.40(d)
Borne,Jeff VanderMeer,Paperback,$12.75,$15.00,9780374537654,"Farrar, Straus and Giroux",02/27/2018,368,5.40(w) x 8.20(h) x 1.00(d)
Borstal Boy,Brendan Behan,Paperback,$16.94,$16.95,9781567921052,"Godine, David R. Publishers, Inc.",09/28/2004,386,5.54(w) x 8.26(h) x 1.17(d)
Boss: Richard J. Daley of Chicago,Mike Royko,Paperback,$16.78,$17.00,9780452261679,Penguin Publishing Group,10/01/1988,240,5.24(w) x 7.97(h) x 0.51(d)
Bossypants,Tina Fey,Paperback,$13.60,$16.00,9780316056878,"Little, Brown and Company",01/03/2012,304,5.40(w) x 8.20(h) x 0.90(d)
Bound for Gold: A Peter Fallon Novel of the California Gold Rush,William Martin,Hardcover,$26.99,$29.99,9780765384218,Tom Doherty Associates,07/03/2018,496,6.20(w) x 9.40(h) x 1.50(d)
Bowerman and the Men of Oregon: The Story of Oregon's Legendary Coach and Nike's Cofounder,Kenny Moore,Paperback,$19.99,$19.99,9781594867316,Potter/Ten Speed/Harmony/Rodale,09/04/2007,480,5.99(w) x 8.97(h) x 1.28(d)
Bowlaway,Elizabeth McCracken,Hardcover,$23.79,$27.99,9780062862853,HarperCollins Publishers,02/05/2019,384,6.00(w) x 8.80(h) x 1.50(d)
Boy on Ice: The Life and Death of Derek Boogaard,John Branch,Paperback,$14.36,$15.95,9780393351910,"Norton, W. W. & Company, Inc.",10/13/2015,384,5.40(w) x 8.10(h) x 1.00(d)
Boy Swallows Universe,Trent Dalton,Hardcover,$18.89,$26.99,9780062898104,HarperCollins Publishers,04/02/2019,464,5.80(w) x 9.10(h) x 1.90(d)
"Boy, Snow, Bird",Helen Oyeyemi,Paperback,$14.40,$16.00,9781594633409,Penguin Publishing Group,03/03/2015,336,5.20(w) x 8.00(h) x 0.90(d)
