A_id,B_id
2328,3228
935,4035
376,5114
2369,4515
3134,4515
1689,4077
1034,3884
662,4515
2042,2804
1609,130
1977,3237
2285,172
1736,328
822,4515
3728,4515
441,4515
1082,3597
1609,1870
935,4646
1947,1878
2627,4515
3721,4515
602,4515
1912,4867
1082,4954
594,2912
514,4515
1214,4850
344,4515
30,3704
2337,1015
3346,4515
2391,4782
1400,3656
1082,3923
1790,4521
3641,5092
196,4515
1748,3327
1899,3559
391,4515
736,1020
2197,1787
1832,1359
771,4515
1233,4211
1154,1004
2294,874
3240,4515
4045,4515
2546,4600
1226,4031
277,4515
1114,2721
1793,4166
1476,4383
3992,4515
87,1311
4046,3065
931,4850
3674,4515
2181,4515
1434,2013
382,3840
2323,4297
461,4343
41,4515
3699,4515
743,3297
1605,2094
2023,3612
2304,4116
1433,4362
1038,3183
4154,4255
1888,490
1374,4077
352,598
2008,4515
2471,4724
1900,5268
592,4101
1692,4850
1148,3557
1433,4646
894,2667
1214,4362
448,2418
1994,4410
1082,4714
1398,4515
653,4515
648,4515
1672,4112
100,1789
976,4515
1725,4646
993,3352
2726,4515
2046,4912
1301,2462
2145,3057
2142,4515
4647,2971
1148,4031
399,4515
4076,4515
2789,683
2365,4850
1832,2770
1012,4446
1952,4790
1170,2545
1837,4383
910,2157
2161,1379
710,4515
1942,4515
2463,4077
2083,836
1922,5205
1080,3883
1064,3685
1173,2593
1725,4850
2471,4515
2088,1049
1154,1059
341,5369
2998,133
2231,4515
383,4515
2235,4515
896,4428
1831,4623
2145,4428
4647,2019
1529,4862
983,5297
3836,3914
2286,4423
2638,4515
2341,2540
935,196
931,4092
3636,2040
1699,3761
3817,1338
1785,2704
1220,4266
262,4515
1170,2554
3938,3875
150,4515
478,4515
1923,4515
3191,1203
3764,1796
2421,4515
3793,662
1419,4141
1433,3845
3961,3463
1898,229
176,2416
2314,2425
1481,4685
705,4182
953,98
1018,4043
1743,4757
3960,2019
1279,2702
64,1414
30,636
631,3160
1837,4587
3771,2279
409,4515
1952,4789
2230,2844
3861,5334
2323,4644
2140,4480
2044,2220
2207,4903
935,4092
1277,3845
2062,136
1400,4711
223,5269
1277,3865
2970,4515
1709,3959
1038,4678
3117,5302
497,4515
2323,3597
235,4515
768,3851
1978,2702
1746,2864
3593,1555
2323,3758
1837,4406
1832,2474
3903,1779
1621,3541
1345,1004
3295,5099
2207,4903
3815,487
956,4515
1400,4406
3129,4515
1028,4957
2605,1439
626,1285
1406,3408
4154,4255
607,4515
3880,1327
1148,4383
878,4515
2304,3444
3959,34
2391,3654
1476,4406
1668,4221
766,4473
1899,4515
3716,1851
173,4515
1547,2943
1154,3028
3936,4876
1036,3501
1529,4646
2741,4515
685,495
3116,4515
410,4515
619,4515
2664,4957
1704,1194
1593,647
3601,142
2112,5419
1850,3434
2632,4658
2304,2013
4175,4515
2797,4944
2500,1962
1316,2589
1208,3312
478,2516
205,189
3295,4515
1672,31
3971,4381
866,703
1725,4362
1699,4600
297,2775
1299,4171
2371,4815
229,5168
1593,2012
1903,3290
2585,922
68,2418
1993,4525
1236,3589
995,1004
1794,2213
1792,567
1419,3925
1609,2012
3878,1010
2173,4518
1214,4111
1688,1366
1226,3557
3853,2671
2125,1841
1412,3817
1638,4288
3722,4453
3992,3975
1573,3656
1394,1200
2257,1722
657,4515
1600,3622
1099,3883
1246,4812
2227,1946
1394,1870
2183,2115
3923,4627
3523,4323
1419,4424
1170,2544
354,4515
434,4768
3699,1136
4042,4515
2123,483
437,4515
1593,72
1833,4083
4107,4515
1689,4077
1354,4383
176,2418
2507,4215
240,4515
1985,1708
1277,4092
3198,4515
206,4515
1103,3557
2591,4456
2546,4423
2866,4294
828,4515
2866,3622
4053,5409
481,4515
262,4286
3926,2174
3015,4515
935,4111
1837,3656
1522,63
3632,2203
1519,1279
1811,4515
1481,4711
3080,1717
3626,299
1888,3312
896,3057
428,3072
1609,2338
1573,4711
3479,3032
2205,3788
2507,4184
2199,4307
725,4515
85,3973
552,4515
4131,1080
766,4477
3141,918
1214,4646
1573,3516
1653,1870
1170,2549
2301,4515
1374,4092
790,4515
1237,368
1650,4183
935,3845
778,4515
912,982
2277,4515
1965,4659
1394,5072
1264,2812
1208,726
434,4515
1792,1059
68,2417
1894,215
